case_name,case_size,text_type,algorithm,compression_time_seconds,decompression_time_seconds,total_time_seconds,memory_used_kb,original_size_bytes,original_size_bits,compressed_size_bytes,compressed_size_bits,decompressed_size_bytes,decompressed_size_bits,compression_ratio,reduction_percentage,lossless,note
repetitivo_10,10,repetitivo,Huffman,4.959999932907522e-05,1.3199998647905886e-05,6.27999979769811e-05,130.4951171875,10.0,80.0,20.0,160.0,10.0,80.0,2.0,-100.0,True,
repetitivo_10,10,repetitivo,LZW,2.5000001187436283e-05,1.7800004570744932e-05,4.2800005758181214e-05,130.080078125,10.0,80.0,24.0,192.0,10.0,80.0,2.4,-140.0,True,
patron_10,10,patron,Huffman,7.320000440813601e-05,4.949999856762588e-05,0.0001227000029757619,131.638671875,10.0,80.0,52.0,416.0,10.0,80.0,5.2,-420.0,True,
patron_10,10,patron,LZW,3.290000313427299e-05,2.269999822601676e-05,5.560000136028975e-05,130.7607421875,10.0,80.0,52.0,416.0,10.0,80.0,5.2,-420.0,True,
pseudoaleatorio_10,10,pseudoaleatorio,Huffman,9.240000508725643e-05,7.599999662488699e-05,0.00016840000171214342,133.4580078125,10.0,80.0,94.0,752.0,10.0,80.0,9.4,-840.0,True,
pseudoaleatorio_10,10,pseudoaleatorio,LZW,3.40000115102157e-05,2.3100001271814108e-05,5.710001278202981e-05,130.923828125,10.0,80.0,78.0,624.0,10.0,80.0,7.8,-680.0,True,
natural_10,10,natural,Huffman,9.279999358113855e-05,6.36000040685758e-05,0.00015639999764971435,133.1923828125,10.0,80.0,85.0,680.0,10.0,80.0,8.5,-750.0,True,
natural_10,10,natural,LZW,3.1400006264448166e-05,2.200000744778663e-05,5.3400013712234795e-05,130.9189453125,10.0,80.0,73.0,584.0,10.0,80.0,7.3,-630.0,True,
codigo_10,10,codigo,Huffman,7.809999806340784e-05,5.299999611452222e-05,0.00013109999417793006,132.9267578125,10.0,80.0,77.0,616.0,10.0,80.0,7.7,-670.0,True,
codigo_10,10,codigo,LZW,3.359999391250312e-05,3.260000084992498e-05,6.61999947624281e-05,130.8203125,10.0,80.0,68.0,544.0,10.0,80.0,6.8,-580.0,True,
csv_10,10,csv,Huffman,9.900001168716699e-05,7.069999992381781e-05,0.0001697000116109848,133.4580078125,10.0,80.0,94.0,752.0,10.0,80.0,9.4,-840.0,True,
csv_10,10,csv,LZW,3.120000474154949e-05,2.230000973213464e-05,5.350001447368413e-05,130.9248046875,10.0,80.0,78.0,624.0,10.0,80.0,7.8,-680.0,True,
repetitivo_1000,1000,repetitivo,Huffman,0.00014910000027157366,1.5199999324977398e-05,0.00016429999959655106,139.1005859375,1000.0,8000.0,145.0,1160.0,1000.0,8000.0,0.145,85.5,True,
repetitivo_1000,1000,repetitivo,LZW,0.0007171999895945191,8.850000449456275e-05,0.0008056999940890819,134.376953125,1000.0,8000.0,86.0,688.0,1000.0,8000.0,0.086,91.4,True,
patron_1000,1000,patron,Huffman,0.0001740000006975606,0.00023040000814944506,0.00040440000884700567,150.041015625,1000.0,8000.0,319.0,2552.0,1000.0,8000.0,0.319,68.10000000000001,True,
patron_1000,1000,patron,LZW,0.0007781000022077933,0.00015079999866429716,0.0009289000008720905,144.244140625,1000.0,8000.0,244.0,1952.0,1000.0,8000.0,0.244,75.6,True,
pseudoaleatorio_1000,1000,pseudoaleatorio,Huffman,0.0004504999960772693,0.00078449999273289,0.0012349999888101593,206.5595703125,1000.0,8000.0,1377.0,11016.0,1000.0,8000.0,1.377,-37.7,True,
pseudoaleatorio_1000,1000,pseudoaleatorio,LZW,0.001368099998217076,0.0013138000067556277,0.0026819000049727038,230.205078125,1000.0,8000.0,1718.0,13744.0,1000.0,8000.0,1.718,-71.8,True,
natural_1000,1000,natural,Huffman,0.000262100002146326,0.00046179999480955303,0.000723899996955879,175.3154296875,1000.0,8000.0,731.0,5848.0,1000.0,8000.0,0.731,26.900000000000002,True,
natural_1000,1000,natural,LZW,0.000832199992146343,0.00043559999903663993,0.001267799991182983,171.8798828125,1000.0,8000.0,705.0,5640.0,1000.0,8000.0,0.705,29.500000000000004,True,
codigo_1000,1000,codigo,Huffman,0.0002567999908933416,0.00047230000200215727,0.0007290999928954989,175.5751953125,1000.0,8000.0,746.0,5968.0,1000.0,8000.0,0.746,25.4,True,
codigo_1000,1000,codigo,LZW,0.0008268000092357397,0.0003769000031752512,0.001203700012410991,164.3330078125,1000.0,8000.0,624.0,4992.0,1000.0,8000.0,0.624,37.6,True,
csv_1000,1000,csv,Huffman,0.0002910999901359901,0.0004415000003064051,0.0007325999904423952,170.9833984375,1000.0,8000.0,684.0,5472.0,1000.0,8000.0,0.684,31.599999999999994,True,
csv_1000,1000,csv,LZW,0.0008484999998472631,0.00034270000469405204,0.0011912000045413151,163.3232421875,1000.0,8000.0,616.0,4928.0,1000.0,8000.0,0.616,38.4,True,
extremo_10e10_teorico,10000000000,extremo,Teorico,,,,,,,,,,,,,,"No se genera en memoria. Debe evaluarse por extrapolación, streaming por bloques o análisis teórico por limitación física."
